"Date","WaterLevel"
1932-11-12,675.6
1932-11-13,675.82
1932-11-14,675.97
1932-11-15,675.92
1932-11-16,675.74
1932-11-17,675.88
1932-11-18,675.88
1932-11-19,675.92
1932-11-20,675.97
1932-11-21,676.02
1932-11-22,675.92
1932-11-23,675.98
1932-11-24,675.9
1932-11-25,675.98
1932-11-26,675.9
1932-11-27,675.92
1932-11-28,675.87
1932-11-29,675.84
1932-11-30,675.92
1932-12-01,675.93
1932-12-02,675.824928092308
1932-12-03,675.72
1932-12-04,675.64
1932-12-05,675.74
1932-12-06,675.88
1932-12-07,675.83
1932-12-08,675.81
1932-12-09,675.94
1932-12-10,675.9
1932-12-11,676.232057939604
1932-12-12,676.561708788786
1932-12-13,676.835505243575
1932-12-14,677
1932-12-15,675.99
1932-12-16,676.01
1932-12-17,675.84
1932-12-18,675.81
1932-12-19,675.88
1932-12-20,675.91
1932-12-21,675.94
1932-12-22,675.997083887388
1932-12-23,676.05
1932-12-24,676.03
1932-12-25,675.95
1932-12-26,676.01
1932-12-27,676.04
1932-12-28,676.03
1932-12-29,676.04
1932-12-30,676.1
1932-12-31,675.81
1933-01-01,675.77
1933-01-02,675.89
1933-01-03,675.94
1933-01-04,675.99
1933-01-05,675.91
1933-01-06,675.86
1933-01-07,675.96
1933-01-08,675.95
1933-01-09,675.98
1933-01-10,676.02
1933-01-11,676.08
1933-01-12,676
1933-01-13,676
1933-01-14,675.98
1933-01-15,676.11
1933-01-16,676.18
1933-01-17,676.19
1933-01-18,676.19
1933-01-19,676.15
1933-01-20,676.16
1933-01-21,676.21
1933-01-22,676.21
1933-01-23,676.239452894377
1933-01-24,676.26
1933-01-25,676.2
1933-01-26,676.18
1933-01-27,676.08
1933-01-28,676.06
1933-01-29,676.19
1933-01-30,676.18
1933-01-31,676.13
1933-02-01,676.164077042469
1933-02-02,676.190932444302
1933-02-03,676.2
1933-02-04,675.98
1933-02-05,675.93
1933-02-06,676.09
1933-02-07,676.16
1933-02-08,675.68
1933-02-09,675.38
1933-02-10,675.46
1933-02-11,675.659596424603
